Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
Data Engineer,$84K-$113K (Glassdoor est.),"Come to Insider Inc to build great data products! We are looking for a new team member to join data engineering, where you will be responsible for identifying the data we need to collect, building great ETLs, writing superb SQL against our warehouse, and then working with data science and analytics teams to make the business work better and go faster.Responsibilities:* Collaborate with analysts and business stakeholders to understand data needs and scope out technical requirements for data products* Design and implement data architecture, and support feature enhancements to the data warehouse* Develop and maintain scalable and fault-tolerant data pipelines connecting multiple internal data sources and third-party data through APIs as needed* Discover new opportunities to automate ETL, reporting, and other analytics tasks to drive efficiency and optimize business operations company-wide* Work with stakeholders across divisions to ensure data quality and integrity from data collecting, processing, and presentation* Develop strong subject matter expertise in the data sets that flow into the infrastructure, assess and evaluate the value and quality of new data sources* Explore and identify next-generation reporting options that meet the company's future analytics needsWhat we are looking for:* 2-5 years of experience building data products* Proficiency in Python and SQL* Ability to communicate excellently with both business and technical audiences* Experience translating data needs into deliverables to meet business goals* Self-directed, supremely curious, and detail-oriented* Team player who's able to collaborate across functions* Experience with Google Tag Manager is a plusAbout us:Insider Inc. is a global news and lifestyle publication with teams in New York, London, San Francisco, Los Angeles, and beyond. Our mission is to inform and inspire the digital generation and become the most influential and loved journalism brand in the world. To do this, we delight our audience, clients, and colleagues and we get better every day (you'll hear that mantra a lot). Our employees are world-class storytellers, excellent communicators, ""good eggs"", and-most of all-effective. We make things happen, love what we do, and have fun while we do it. You can read more about our Mission, Values, and Culture here and more about our company and brands here.Our newsroom has three divisions: Business Insider, Insider News, and Insider Life. As the 4th largest digital media brand in the U.S, we tell stories that command attention and inspire action. We equip a curious and action-oriented audience of more than 375 million, including half of all U.S. millennials on the internet, with the information and inspiration they need to keep the world, and their lives, moving forward. The company started by building the world's largest digital business news site which and has continued to grow and evolve to match the changing passions and interests of its audience. Insider Inc. is home to 50+ content verticals, the #1 daily news show on Facebook, and we publish 16 global editions in 8 languages.We're always growing, and we're looking for talented, curious, and motivated individuals to join our team. We'd love to hear from you - even if you don't meet 100% of our requirements.",3.4,"Business Insider
3.4","New York, NY","New York, NY",201 to 500 employees,2007,Company - Private,News Outlet,Media,$50 to $100 million (USD),-1,-1
Data Engineer,$84K-$113K (Glassdoor est.),"Our client, a Fortune 500 Company is looking to fill multiple roles for Data Engineers of all levels with a variety of skills. The right candidate(s) will have one of or multiple skills in each category Programming (Java, Scala or Python) Computer Science Fundamentals (Algorithms and Data Structures) Distributed Computing (Spark or Parquet) Proficiency in DatabasesSQL, performance tuning, NoSQL, MongoElastic Web Application Architectures (HTTPHTMLCSS, JavaScript) FinancialFixed income Knowledge is a plus Spark, Scala and Functional Programming Event Driven Programming (Kafka, Akka, Flink or Spark Streaming) FrontEnd Development (Angular, Java Scripts, Reactive Programming) Kubernetes, Docker, AWS Infrastructure and Process Management What You Will Do Build complex data ingestion pipelines using Scala, Spark, Parquet and S3 Design scalable processes in event driven architecture to support Fixed Income applications Develop near real time streaming analytics using KafkaKinesis Act as Subject Matter Expert and help rest of the team in leveraging the platform and migrating applications to it Establish end to end data lineage and data catalogue. Work with data governance team to setup data quality checks and metrics Create self-service notebook environment with ZeppelinJupyter for exploratory data analytics and rapid interactive development Troubleshoot any performance issues and ensure efficient data organization Build efficient web-based tools for monitoring and tracking What You Will Need Bachelorrsquos degree in computer science or related field required. Masterrsquos degree preferred Knowledge of data structures, algorithms and functional programming Passion to learn new things, experiment with new ideas and build world class data platform 5+ years of experience in programming with Scala, Python or Java 2+ years of experience in Scala, Spark and functional programming. Deep knowledge of spark internals such as partitioning, DAG, lazy evaluation. Strong experience with relational data bases, SQL, and query optimization. Knowledge of data warehousing, dimensional data model and business intelligence is a plus. Knowledgeexperience with event driven programming and Akka actor model",5.0,"Resource 1
5.0","Newark, NJ","Creve Coeur, MO",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
Data Engineer,$84K-$113K (Glassdoor est.),"About TelTech

A member of the IAC family, TelTech builds innovative communication apps that help people better enjoy their mobile-connected lives. From RoboKiller, an app that stops and gets even with telemarketers, to TapeACall, which records iPhone conversations, we build apps that protect our customers every day. We are looking to expand our team with creative, talented, and passionate people who are committed to the growth of our existing products as well as new products we intend to launch. TelTech's sister companies in Mosaic Group include iTranslate (Apple Design Award Winner 2018), Daily Burn (top-rated health and fitness company), and Apalon.

Position Summary

This position will serve as the primary data engineer for TelTech. A successful data engineer at Teltech will have significant data warehousing experience, Python development experience, and mastery of SQL. The data engineer will also be proactive in maintaining relationships with product, marketing, and analytics to ensure all data-related business needs are met.

Responsibilities
Gather requirements from business stakeholders (product, marketing, analytics) and effectively translate them into a data environment that supports business needs
Design and maintain data warehouse (PostgreSQL and BigQuery) and data lake (GCS)
Build batch and real-time data pipelines to ingest and process data from various sources such as product backends, third party platforms, etc.
Build internal tools and services to support data analytics and engineering
Help product, marketing, analytics, and engineering with diagnosing data-related issues
Document, profile, and manage data across multiple products and platforms for data governance (consistent naming conventions, data validation, data retention)
Maintain a line of communication between developers and data team to ensure all stakeholders are up to speed on changes to source database schema for analytics purposes
Work closely with other data engineering teams across Mosaic to ensure alignment of methodologies and best practices
Qualifications
2 - 4 years experience programming and scripting in Python within a production environment
Hands-on experience with relational databases (MySQL and PostgreSQL)
Familiarity with creating ETL processes for large-scale data warehouses
Must have familiarity with GCP and its offered services (BigQuery, CloudSQL, Dataprep, etc)
Knowledge of PubSub, or relevant messaging queue like Kafka, is a must
Distributed file systems (GCS, HDFS) knowledge is a must
Familiarity with Java, JavaScript, Airflow, Docker, Scala, and Spark are preferred
Familiarity with NoSQL is a plus
Prior experience with CI/CD is a plus
Why TelTech?
An amazing working environment with a lot of perks including but not limited to:
Unlimited PTO!
Matching 401k!
Company Contribution towards Commuter Benefits!
Fully stocked kitchen!
Environment where you can mentor and learn from others.
PRIVACY STATEMENT",4.8,"TelTech
4.8","New York, NY","South Amboy, NJ",51 to 200 employees,2005,Company - Public,Telecommunications Services,Telecommunications,$5 to $10 million (USD),-1,-1
Senior Data Engineer,$84K-$113K (Glassdoor est.),"Come see what's cookin' at HelloFresh!At HelloFresh, we want to revolutionize the way we eat by making it more convenient and exciting to cook meals from scratch. We have offices all over the world and we deliver delicious meals to millions of people.We are the industry leader in meal-kit subscription services and we're growing all the time. We have distinct meal-kit services that cater to everyone with the most menu variety in the market, which allows us to reach an incredibly wide population of people.The HelloFresh team is diverse, high-performing, and international, and our work environment is an inspiring space where you can thrive as a result.Job Description:We are growing our Data Engineering team to take our data modeling and automation to the next level. The Data Engineering team is part of the broader Growth Organization (Data Science, Digital Product, Marketing) and works closely with Data Scientists to build and maintain best-in-class data products to improve HelloFresh's user-experience and marketing effectiveness. The Data Engineering department is focused on designing scalable and automated data flows using a variety of big data tools and platforms (AWS Glue, Airflow, Spark, Databricks Cloud etc..)We are hiring a Senior Data Engineer to lead HelloFresh's Data Infrastructure & Automation workstreams as a key member of the Data Engineering team.Our vision is to maintain a best-in-class automated data platform directing our marketing initiatives on delivering the right food box at the desired price point to the front door of all our customers. We are looking for someone who can head up our engineering key projects and mentor our more junior engineers.You will ...* Data modeling: design, extend and update the HelloFresh's data model (create new schemas, fact tables, mat views, joins, etc.)* Data cleaning/enrichment: keeping data clean and consistent with production systems (e.g. bug fixes, backfills )* Design and implement end-to-end data products and marketing automation flows: from data ingestions for data science modeling to creation of automated pipelines to external software (Salesforce, etc.)* Data infrastructure: maintaining and deploying ETLs on Databricks cloud* Design automated Monitoring of ETLs in production* Data Transformations: implement the logic of the data pipeline (aggregations, projections, selections, etc )* Data Cleaning: keeping data clean and accurate with data sources (DWH, 3rd Party)You are...* An active, solution-oriented member of autonomous, cross-functional agile teams collaborating with Product Owners, Data Scientists, and Business Intelligence teams* Able to develop an in-depth understanding of HelloFresh's core product and architecture, and act as an ambassador for state of the art software solutions and industry best practices offering support and mentorship to colleaguesAt a minimum, you have...* MSc in a STEM discipline* 5+ years' data engineering experience is required* Advanced Python (functional and OOP) and SQL skills (DDL, DML, CTEs, query optimization, ...) experience with Apache Spark required* Knowledge of data structures (DataFrames, RDDs, Dataclasses) and data formats (CSV, JSON, Parquet, Avro, ORC)* Required prior experience installing data architectures on Cloud providers (e.g. AWS), using DevOps tools and automating data pipelines.* The ability to design, implement and deliver maintainable and high-quality code using best practices (e.g. git/github, secrets, configurations, yaml/json)* Experience with data modeling, design patterns, building highly scalable and secured solutions preferred* Min 2 years experience with job orchestration tools like Airflow, Luigi or similar* Experience with end-to-end testing of data pipelines and implementing Data Quality checks (e.g. using frameworks AWS Deequ) is preferred.You'll get* Competitive Salary & 401k company match that vests immediately upon participation* Generous parental leave of 16 weeks & PTO policy* $0 monthly premium and other flexible health plans effective first day of employment* 75% discount on your subscription to HelloFresh (as well as other product initiatives)* Snacks, cold brew on tap & monthly catered lunches* Company sponsored outings & Employee Resource Groups* Collaborative, dynamic work environment within a fast-paced, mission-driven companyIt is the policy of HelloFresh not to discriminate against any employee or applicant for employment because of race, color, religion, sex, sexual orientation, gender identity, national origin, age, marital status, genetic information, disability or because they are a protected veteran.",3.4,"HelloFresh
3.4","New York, NY","Berlin, Germany",1001 to 5000 employees,2011,Company - Public,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,-1,-1
Data Engineer,$84K-$113K (Glassdoor est.),"Are you interested in developing a large-scale data warehouse while implementing KPIs to measure the impact on end-user productivity? Are you proficient in utilizing programming languages and have a strong data analytics experience? Do you want to work for a highly skilled team of engineers that are doing both? Then you could be Fivesky's next Data Engineer.Who you are:* 7+ years of relevant experience in an enterprise environment.* Bachelor's in Information Technology, Computer Science or a related discipline.What you've done:* Deep proficiency in programming languages such as Java, C++, Python, C# or similar languages* Experience in creating data visualizations and developing a large-scale data warehouse* Ability to work across the stack from backend system development and data engineering to front end user interface design* You have worked with a big data platform like HadoopWhat you will do:* Design and develop data warehouses to inform applications* Update platform functionalities by creating external tools* Create a data science platform for enabling the calculation of dynamic KPIs* Collaborate with teams across the firm to deliver integrated solutions and quantify the organization's impact* Provide technical support to the operations in order to deliver a dependable and highly-functioning production platform* Construct visualizations and dashboards in order to drive key management decisions* Improve and maintain processing architecture/systems and existing log streaming* Translate requirements from product managers into technical implementations* Analyze new data sources and create data visualizations to support business use cases* Explore and evaluate cutting-edge technologies, suggest improvements based on best practices, trends, and industry standards and choose appropriate solutions to solve problemsAt Fivesky, our employees are our greatest asset and the focal point around which we operate; therefore, we always want the best for our employees. In addition to offering competitive compensation plans and long-term career opportunities, we offer an attractive mix of benefit plans to our employees that include provisions for vacation, holiday pay, and sick days.Fivesky is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, genetic information, or any other characteristic protected by law.This is a full-time, direct employment opportunity in New York The salary is open based on experience and qualifications.",4.7,"Fivesky
4.7","New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,-1
Data Engineer - (11211),$84K-$113K (Glassdoor est.),"Help us move the world with images!
Getty is embarking on its next wave of innovation in visual storytelling and how to put the perfect image or video in our customer’s hands, be it for a society-changing headline or a brand’s next big campaign—truly moving the world with images.

Getty Images is the most trusted and esteemed source of visual content in the world, with over 200 million assets available through its industry-leading sites www.gettyimages.com and www.istock.com. The Getty Images website serves creative, business and media customers in almost 200 countries and is the first place people turn to discover, purchase and share powerful content from the world's best photographers and videographers.

Getty Images works with over 200,000 contributors and hundreds of image partners to provide comprehensive coverage of more than 130,000 news, sport and entertainment events, impactful creative imagery to communicate any commercial concept and the world's deepest digital archive of historic photography.

Getty Images is the starting point for our customers imagery search. Customers are confident that they are going directly to the best source of content, and that Getty's search engine will surface only the most relevant content to them and have the tools they need to refine and explore creatively.

Our customers will be able to communicate effortlessly with Getty Images, in their quest to find the right imagery. Using text, voice, or visual channels, they will have the ability to describe their content needs creatively and thoroughly. Getty Images' search will eliminate the barrier that exists between a creative art director and a technical researcher.

Who you are:
Getty Images Inc. is looking for a Data Engineer that enjoys working across the entire life-cycle of Machine Learning projects and takes pride in deploying high-quality ML and data workflows.

The mission of the Data Science team at Getty Images Inc. is to leverage internal and third-party data to inform other groups on how to interact with its customer base. We achieve this goal by 1) building automated solutions that apply best-in-class Machine Learning and Engineering practices and 2) continuous interactions with stakeholders to identify critical needs that deliver results relevant to the business. As a Data Engineer on the Data Science team, you will have end-to-end autonomy and ownership of your projects, and will work closely with other business units to develop creative solutions to a variety of problems.

Your next challenge
You will join a team of highly-collaborative and curious Data Scientists and Data Analysts that are comfortable working with a diverse set of tools, and willing to take initiative on their ideas. As a member of the team, you will have the chance to define the technical architecture that serves as the foundation for upstream analytical projects, and accelerate the delivery of a robust portfolio of Data Science models.

Your primary goal will be to catalyze the development and deployment of full-stack Machine Learning pipelines. You will have the opportunity to continuously develop and ship code in our production environment, and will be empowered to implement a variety of data-centric architectures that support critical operational initiatives.

You will also interact with the entirety of Getty Images Inc. technology stack, and collaborate with data infrastructure, platform and cloud engineers to design and build a production-level data ecosystem that aligns with business function requirements and capable of handling large-scale structured and unstructured data. You will also have the opportunity to continuously evaluate and provide guidance on the use of new technologies.
We value learning and development, and you will be given every opportunity to work on projects that excite you. You will get to lead and innovate as a thought-leader within Getty Images, and will sit at the intersection of Engineering, Marketing and Leadership to inform, influence, support, and execute on our decisions.
What you’ll need:
You have prior experience working as a Data Engineer, preferably in a product or customer-focused organization.
You are extremely comfortable working with Python and have a working knowledge of Cloud services and Tools, as well as standard engineering tools such as Git, Linux and SQL.
You have experience building streaming and batch data pipelines and are comfortable working within a large-scale distributed environment with open source tools such as Hadoop, Hive, Airflow and Spark.
You can independently execute on a project, from ideation to delivery to stakeholders, and can pro-actively interact with other engineers at Getty Images to access necessary resources or data.
You understand, or have interest learning about, the real-world advantages and drawbacks of various Machine Learning techniques, and have applied those to a variety of datasets.
Nice to Have:
A M.S. or PhD. in computer science, statistics, economics/econometrics, natural science or any other equivalent quantitative project is preferred. If you are self-taught and believe you are a good fit for this role, or have significant work experience, we would love to hear from you as well.
Previous experience in an analytical role, and experience working with teams of Data Scientists and Data Analysts.
Experience having managed or contributed to the use of Business Intelligence platforms such as Looker and Snowflake.
Experience with Marketing platforms such as Google Analytics and SA 360.
Due to the current conditions and impact of Covid-19, this key position will work from home and will require relocating to New York in the future. As we do not have a timeline to when conditions improve, we are prepared to offer flexibility with the timeline to relocate including relocation assistance.

Visit Getty Images at www.gettyimages.com to learn more about how the company is advancing the unique role of still and moving imagery in communication and business, and enabling creative ideas to come to life. For company news and announcements, visit our Press Room, and for the stories and inspiration behind our content, visit Stories & Trends. Find Getty Images on Facebook, Twitter, Instagram, LinkedIn, Pinterest and Tumblr, or download the Getty Images app where you can explore, save and share the world's best imagery.

Getty Images is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. Getty Images believes that diversity is critical to our success in moving the world with images and is committed to creating an inclusive, mutually respectful environment which celebrates diversity. We seek to hire on the basis of merit, competence, performance, and business needs.",2.8,"Getty Images
2.8","New York, NY","Seattle, WA",1001 to 5000 employees,1995,Company - Private,Photography,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,"Adobe, Shutterstock",-1
Software Engineer - Data,$84K-$113K (Glassdoor est.),"About the Company:

PlaceIQ is a leading data and technology provider that powers critical business and marketing decisions with location data, analytics and insights. An early industry pioneer, PlaceIQ has become the standard for fueling better decisions by marketers, analysts and publishers through powerful, location-based consumer insights, real-world measurement and attribution.

With PlaceIQ, companies can uncover opportunities within the consumer journey by learning about and connecting with location-based audiences, measuring real-world ROI and applying insights that drive intelligent marketing and successful business outcomes.

About the Engineering Organization:

Having already assembled an exceptionally skilled and passionate team of developers and data scientists, we are looking for world-class engineers who want to take location-data understanding to a new frontier, where it connects with real-world behavior. We love building regression models, classification algorithms, data visualizations, and geo-spatial clustering, within our location-data platform, which processes terabytes of data daily to generate the fundamentals of location-data products. PlaceIQ Engineers live for huge challenges and deliver in a fast paced, agile environment. Our unique culture breeds excellence and embraces creativity as we look to innovate and drive our business forward. If you have a passion for imagining and building technology solutions that will make an immediate impact in an untapped space, we want to talk to you!

At PlaceIQ, you will get the opportunity to process structured and unstructured data to extract value from it. You will be developing new data products, working alongside Data Scientists, and Product Managers, and validating the products to produce a better understanding of the real world.

The role will be to:
Develop data-products, with adjoining data-pipelines, engineered to high standards of performance, efficiency, and reliability
Generate and implement Machine-Learning algorithms, with Data-Scientists
Ensure data quality, with testing on a product and pipeline level
Implement automation of the data pipelines & software releases
Collaborate with internal teams to gather requirements for data-products
Provide some ongoing support, monitoring, and maintenance of deployed products
Preferred Qualifications:
Experience with least one Object-Oriented language: Scala, Java, C++
Familiarity with Apache Spark or Hadoop MapReduce,
Familiarity in building ETL/Data-pipelines.
Experience in UNIX/Linux environments with Bash/Python scripting.
Experience with SQL in an RDBMS e.g.: MySQL, PostgreSQL.
Experience with distributed databases would be a huge bonus: e.g.: Hbase, Cassandra, MongoDB with streaming platforms e.g.: Kafka, RabbitMQ,
Understanding of Machine-Learning algorithms, and computational modeling would be a bonus
Exposure to an Agile Scrum software development environment will be a plus as well
BA/BS/MS in Computer Science/Engineering or related technical field.",3.4,"PlaceIQ
3.4","New York, NY","New York, NY",51 to 200 employees,2010,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1,-1
Data Center Engineer,$57K-$75K (Glassdoor est.),"About the Position


We are seeking a motivated, intelligent individual to work with our networking and systems administration teams in our Data Centers in the borough of Manhattan in NYC. The position is a combination of rack and stack, networking and systems administration in a Data Center environment. This is a hands-on position where the individual will be challenged to deliver high quality work in a dynamic environment, with the following responsibilities:
Work as a support resource for different groups within technology, including the systems administration, software development and network engineering groups.
Travel to different data centers to install, configure, monitor, and troubleshoot new and existing equipment.
Maintain responsibility for the overall security, organization, documentation, safety, cleanliness and supplying of the data center
Suggest improvements to current processes when there are better alternatives.
Coordinate logistics of shipping/receiving server, network and telecommunications equipment.
Rack, cable and provision servers and networking equipment.
Maintain inventory for cabling, optics and network equipment.
Perform hardware maintenance on rack-mounted servers.
Measure, install, dress and label copper and fiber cabling.
Work with carriers on installation of services.
Troubleshoot server issues with the guidance of senior SysAdmins.
Troubleshoot network issues with senior network engineers.
Help to troubleshoot equipment failures, then install and configure replacements.
Supervise vendors and trades when they are working in the data center on behalf of Jane Street
About You
Self-driven, independent individual.
1-2 years of experience working in a Data Center environment; racking & stacking equipment and cable management.
Ability to work evenings and occasional weekends.
Strong written and verbal communication skills.
Demonstrated ability of analytical and interpersonal skills.
Basic knowledge of network operating systems would be nice to have
Basic knowledge of data center best practices and cabling methodology.
Ability to lift up to 50 pounds and climb ladders to install cabling and equipment.
Not required, but nice to have:
Ability to terminate copper/fiber cabling.
Experience Upgrading firmware and BIOS settings of servers.
Ability to test and troubleshoot dark fiber connectivity.
Basic Bash/Python scripting experience.
Familiarity with Dell, Cisco, Arista, Ciena, Corning, and/or Ortronics products.",4.8,"Jane Street
4.8","New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1
Principal Software Engineer - Data Cloud,$57K-$75K (Glassdoor est.),"At Veeva, we build enterprise cloud technology that powers the biggest names in the pharmaceutical, biotech, consumer goods, chemical & cosmetics industries. Our customers make vaccines, life-saving medicines, and life-enhancing products that make a difference in everyday lives. Our technology has transformed these industries; enabling them to get critical products and services to market faster. Our core values, Do the Right Thing, Customer Success, Employee Success, and Speed, guide us as we make our customers more efficient and effective in everything they do.

The Role

As a Principal Software Engineer on the Veeva Data Cloud development team, you will be responsible for building out the systems and processes from the ground up for our product launch. You’ll continue to be focused on building software that can scale and continue to evolve with new features and capabilities over time. You’ll be a part of a small team focused on building Veeva Data Cloud from the ground up.
What You’ll Do
Design and develop platform capabilities for a set of new scalable data products to support enterprise customers
Collaborate with Product Management and Development team members on the technical design and development for core product capabilities
Process large amounts of structured and unstructured data to extract value from it
Focus on bringing automation to scale and identifying where software can proactively solve problems in an automated way
Builds the job scheduler and execution capability, focusing on resource scalability
Requirements
10+ years of hands on software development experience
Proven experience building products in Big Data, distributed computing and cloud
Proficient in Java/Scala
Proficient in Spark/EMR
Proficient in Linux, SQL, relational databases
Experience working with AWS
Modern data storage, messaging, and processing tools and demonstrated experience designing and coding in big-data components
NoSQL databases, such as MongoDB, ElasticSearch, Cassandra, etc.
RESTful interfaces
Experience working in an agile environment on enterprise products
Experience in hiring and developing high-performing engineers
College degree in math, computer science, systems engineering or a similar technical field
Nice to Have
Exposure to data and code security (Encryption, SSL, Hashing, Masking) is an advantage
Understanding of machine learning algorithms and computational modeling
Perks & Benefits
Office conveniently located in midtown Manhattan and close to several major transportation hubs
Fully stocked kitchen with snacks and beverages
Fitness/wellness reimbursement
Allocation for continuous learning and development
Weekly happy hours and other social activities
Veeva’s headquarters is located in the San Francisco Bay Area with offices in more than 15 countries around the world.

Veeva is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity or expression, religion, national origin or ancestry, age, disability, marital status, pregnancy, protected veteran status, protected genetic information, political affiliation, or any other characteristics protected by local laws, regulations, or ordinances.",3.5,"Veeva Systems
3.5","New York, NY","Pleasanton, CA",1001 to 5000 employees,2007,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),-1,-1
"Data Engineer, Advertising Analytics",$57K-$75K (Glassdoor est.),"Amazon Advertising exists at the intersection of marketing and e-commerce and offers advertisers a rich array of innovative advertising solutions across Amazon owned properties as well as third party properties Amazon operates. We believe that advertising, when done well, can greatly enhance the value of the customer experience and generate a positive return on investment for our advertising partners.

Amazon Sponsored Display advertising team is seeking a Data Engineer to play a key role in building a large-scale, high-volume, high-performance data solutions. The Amazon Display product is continually evolving and will require constant adaptation to the change. If you love solving challenging problems and like to move fast in a growing and changing environment, this role is right fit for you.


Key Responsibilities Include:
· Design, develop, and maintain data pipelines to enable faster business analysis and reporting.
· Manage automated unit and integration test suites to ensure data correctness and consistency.
· Maintain source code repository of scripts (SQL, Python/R) and other products (dashboards, reports, etc.).
· Partner with our product managers and finance teams to publish datasets for measuring key performance indicators
· Understand and document business processes and design a path to incorporate new initiatives into existing solutions (or build new ones where required)

Basic Qualifications

· 3+ years of experience as a Data Engineer or in a similar role
· Experience with data modeling, data warehousing, and building ETL pipelines
· Experience in SQL
· Bachelors degree or higher in an analytical area such as Computer Science, Physics, Mathematics, Statistics, Engineering or similar.
· Proficiency in one or more of the following languages - Python, Java, R or similar.
· A real passion for technology. We are looking for someone who is keen to demonstrate their existing skills while trying new approaches.
· Ability to communicate effectively and work independently with little supervision to deliver on time quality products

Preferred Qualifications

· Graduate degree in Computer Science, Engineering or related technical field.
· Understanding of Big Data technologies and solutions (Spark, EMR, Hive, S3, Redshift, etc.)
· Understanding of Amazon Web Services (AWS) technologies
· Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.9,"Amazon
3.9","New York, NY","Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",-1
