,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
646,Data Science Co-Op (NLP),$97K – $152K/yr (Glassdoor est.),"Job Description
ABOUT BOSE
You know the moment. It’s the first notes of that song you love, the intro to your favorite movie, or simply the sound of someone you love saying “hello.” It’s in these moments that sound matters most.
At Bose, we believe sound is the most powerful force on earth. And we’ve dedicated ourselves to improving it for nearly 60 years. Ever since our founder, Dr. Amar Bose, bought a stereo system and thought, “I can make this better,” we’ve been relentlessly pushing forward to the next best thing.
Innovation is more than what we do. It’s who we are — constantly learning and constantly curious. We never stop imagining what better sound sounds like. We’re music fanatics and audio engineers. We’re explorers and inventors and dreamers. And we’re passionate down to our bones about making whatever you’re listening to a little more magical.
THE PROGRAM
We're looking for students to join our Co-Op Program who are obsessively curious about 'what's next'. You'll get hands on experience with our products and learn from the best of the best in the business. You will immerse yourself into Bose for 6 months and get the opportunity to grow the skills your learned in the classroom with hands on work experience. By the time you end your time with us, you will have been given the opportunity to truly make a real impact in the future of Bose and your career!
Opportunities don't stop at your day-to-day work. While you're getting an in depth look at your area of expertise, we'll expose you to other areas of the company. Our Co-Ops are given the opportunity to connect with senior leadership across the business to understand different perspectives at Bose. You'll network with other Co-Ops and colleagues to grow your network for the future!
Timeframe: July-December 2024
THE ROLE
Bose is about better sound, but better sound is just the beginning. We are about inventing new technologies that truly benefit people and creating a culture where innovation and teamwork are highly valued. Working at Bose, you are encouraged to question conventional thinking in the relentless quest to create products and experiences that change people's lives. Data science, ML, and analytics are crucial parts of this mission. These capabilities fuel the creation of new and innovative products, help us to bring the right products to the right customers, and allow us to astonish customers with carefully crafted and personalized experiences.
The Data and Analytics Center of Excellence is looking for students to join our Co-Op Program and apply their data science knowledge to real-world challenges. In this role, you will be responsible for creating predictive models to analyze structured and unstructured data. You will apply your knowledge of statistics, data science, and ML and your willingness to write functional code to explore problems and uncover patterns in data. This role is focused on NLP and prior experience is highly recommended.
Responsibilities include (but are not limited to):
Explore large datasets using modeling, analysis, and visualization techniques. Transform the results into insights and recommendations.
Engage with business partners and stakeholders to understand their challenges.
Contribute to the end-to-end development of predictive and prescriptive models for marketing, sales, finance, supply chain, and other business applications.
Apply Frequentist and Bayesian inference methodologies to experimental and observational data.
Required Qualifications:
Currently enrolled in a bachelor's or master's degree program in a quantitative field such as Computer Science, Statistics, Applied Mathematics, Engineering, Information Science, etc.
Good interpersonal, communication, and presentation skills.
Developing expertise in analytics, BI, statistics, data science, or a related area.
Two years of experience with each of SQL, Python, pandas, and scikit-learn.
Experience fitting and evaluating classical ML models (Logistic Regression, Random Forests, Multi-layer Perceptron, etc.).
Prior NLP experience (sentiment analysis, summarization, BERT, T5, etc.).
Preferred Qualifications:
Proven data science experience via an internship, work experience, competitions, etc.
Knowledge of deep learning basics.
Experience with Databricks and Snowflake.
Experience with semantic search, LLMs, or prompt engineering.
Working knowledge of Git and GitHub.
Bose is an equal opportunity employer that is committed to inclusion and diversity. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, age, disability, veteran status, or any other legally protected characteristics. For additional information, please review: (1) the EEO is the Law Poster (http://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf); and (2) its Supplements (http://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm). Please note, the company's pay transparency is available at http://www.dol.gov/ofccp/pdf/EO13665_PrescribedNondiscriminationPostingLanguage_JRFQA508c.pdf. Bose is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the application or employment process, please send an e-mail to Wellbeing@bose.com and let us know the nature of your request and your contact information.",3.8,Bose,"Framingham, MA",5001 to 10000 Employees,1964,Company - Private,Consumer Product Manufacturing,Manufacturing,$1 to $5 billion (USD)
647,"Lead Data Scientist, People Analytics",$103K – $147K/yr (Glassdoor est.),"Overview:
As a Lead Data Scientist, you will be responsible for leading significant role-specific project work as a part of a larger cross-functional team in support of one or more lines of business. Lead Data Scientists typically leverage and implement pre-defined analytics patterns and infrastructure on projects that are moderately complex, requiring working knowledge of a more limited set of machine learning or advanced modeling approaches. They must be able to quickly learn new subject-matter in support of a specific project or task. Our Lead Data Scientists typically work with latitude for action or decisions on specific projects, solutions, or technical issues.

The Lead Data Scientist, People Analytics will support multiple audiences across the People and Planning Department, including DE&I, Organizational Strategy and Planning, and Talent Experience, by applying a broad suite of advanced analytics techniques to identify drivers of key talent outcomes and to predict likely future outcomes in order to shape recommendations. This role will be required to maintain confidentiality of sensitive, personal data related to Staff, contingent workers, and occasionally Operators and Team Members.

Our Flexible Future model offers a healthy mix of working in person and virtually, strengthening key elements of the Chick-fil-A culture by fostering collaboration and community.
Responsibilities:
The person who fills this role will be expected to do the following as a part of their regular work responsibilities:
Apply statistical models and analysis to identify key drivers and causal relationships that predict talent and candidate outcomes
Partner with Staff Listening Program Lead and teams across the People & Planning department to develop models to measure talent experience
Employ theme extraction/identification and driver modeling in support of Staff survey analytics and other listening initiatives
Partner with Talent Planning to implement a scientific approach to headcount modeling integrating business judgment, measurable drivers, and cost factors
Machine learning mining and analysis of unstructured job description and talent data to support skills and capability gap analysis
May design and implement analytic workflows via Alteryx Apps, as needed.
Acts as an individual contributor on project engagements and is responsible for implementing data science best practice in their work, including an emphasis on bias evaluation of solutions
Ability to partner with others to distill complex models and methods into actionable recommendations and insights for leaders
Minimum Qualifications:
Bachelor’s degree or 3-5 years of equivalent work experience
Experience working with and maintaining confidentiality of sensitive and/or regulated data
Strong applied understanding of statistics and statistical modeling
Applied understanding of modern machine learning and its mathematical underpinnings
Moderate proficiency with SQL, Python and/or R
Ability to partner with cross-functional teams using strong written and verbal communication
Possesses a keen eye for systems thinking and process design, especially with respect to scalability and automation
Attention to detail and thoughtful investigation of data
Provides a steadfast focus on creating impactful change
Preferred Qualifications:
Databricks, GitHub, or similar versions for modeling
Bachelor’s Degree in Quantitative or Technical degree program
Minimum Years of Experience: 3 Travel Requirements: 10% Required Level of Education: Bachelor's degree or equivalent experience Preferred Level of Education: Bachelors Degree Major/Concentration: Quantitative or Technical",4.0,"Chick-fil-A, Inc.","Atlanta, GA",5001 to 10000 Employees,1946,Company - Private,Restaurants & Cafes,Restaurants & Food Service,$5 to $10 billion (USD)
648,Data Scientist,$101K – $152K/yr (Glassdoor est.),"Job Description
We are pursuing individual(s) for the position of a Subject Matter Expert - Data Scientist. If this position sounds like a good fit and you have a track record of delivering solid results, please apply.

Position Overview
The individual(s) selected for this position will play a vital role in leading complex data science projects from conception to deployment. This role is on-site M-F (any telework must be approved in advance)
Key Responsibilities may include:
Leading complex data science projects from conception to deployment.
Providing expert guidance and mentorship to data science teams.
Staying abreast of the latest developments in the field and incorporating cutting-edge techniques into projects.
Collaborating with cross-functional teams to understand business needs and deliver data-driven solutions.
Contributing to the strategic planning of the organization's data initiatives.
Required Skills
Advanced Programming Proficiency - Python & R, SQL & NoSQL Databases
Machine Learning and AI - Algorithm Development, Deep Learning, Model Optimization
Big Data Technologies - Hadoop Ecosystem, Apache Spark, Cloud Platforms
Data Visualization and Business Intelligence - Advanced Visualization Tools, Custom Visualizations, Data Engineering and Architecture
Advanced Statistical Analysis - Statistical Modeling, Experimental Design
Emerging Technologies and Techniques - Natural Language Processing (NLP)
Application of Machine Learning in Cybersecurity - Development of Security Algorithms, Threat Intelligence and Analysis, AI-Driven Security Solutions
Years of Experience:
A minimum of 8-10 years of hands-on experience in data science or a related field.
Proven track record of leading significant data-driven projects and teams.
Desired Skills
Publications in reputed journals or presentations at significant conferences in the field of data science are a plus.
Advanced Academic Qualifications: A Master’s degree or Ph.D. in Data Science, Computer Science, Statistics, Mathematics, or a related field is highly preferred.
Certifications: Professional certifications in data science, machine learning, big data technologies, and related areas are advantageous.
About Nyla Technology Solutions
Nyla Technology Solutions is a Women-Owned Small Business that is forward-thinking and bold at every step which has earned us a solid reputation of being technical trendsetters within the industry. Headquartered in the heart of Baltimore City, Maryland, Nyla delivers exceptional software systems engineering and data science services for the U.S. Government. Our customers like how we tackle their toughest problems and so Nyla is adding people who have a passion for doing fun, impactful work. If you are a person who welcomes opportunities to apply your skills in new ways, Nyla has challenges for you. We seek out people with agile, diverse mindsets who are looking for a place to grow—professionally and personally. We create opportunities for you to share your knowledge and experience with the team, and learn from others via training, mentoring, and movement across the many contracts Nyla supports. Nyla endeavors to give back to our community—lending our energy and talents to support local area organizations helping people in need. At Nyla, you will have a place to grow, get, and give where you are passionate.

How We Show Up Every Day
Team Nyla shows up every day with the intention to be awesome—proactively working to accurately interpret and fully understand our client’s challenges and add value to solving those challenges. Knowing the mission, context, and end-users is how we deliver optimal, creative, and innovative solutions. We design our systems with precision, logic, and adaptability, solving the technical and engineering needs of today with an eye on scaling for tomorrow. We endeavor to meet the highest standards of personal conduct, acting as a trusted-provider for our clients-this is how we develop and maintain our enduring relationships with customers and business partners.

Taking Care of All of You
If you have the unique experience and expertise we are seeking, along with the desire and determination to invest your time and energy as a part of Nyla’s Team, we will provide you with a first-class compensation package along with our uniquely Nyla benefits.
At Nyla we talk about employee investment, not employee costs. We provide our great people with benefits that ensure their overall well-being. Nyla offers group benefits, 100% paid by Nyla, that include CareFirst medical, dental, and vision coverage. To support your personal goals for overall well-being and health, we provide a healthy living and fitness benefit of up to $500.00 per anniversary year. We believe that an ongoing investment in your professional learning and development is a cornerstone to our success, so we go all-in and provide up to $5,000 per anniversary year to support your growth or tuition assistance of up to $5,250 per year. We want to protect you and your future—Nyla provides, at no cost to you, short-term and long-term disability, and life insurance. And, to augment your financial beyond today’s salary, Nyla offers up to 10% employer contribution/match in our retirement plan. Lastly, we understand the importance of recharging and replenishing yourself, so we provide new employees with 4 weeks of Paid Annual Leave and 11 holidays, plus each year you are with the company, you get an extra day off. We also provide 8 hours a year to use for volunteering as our corporate goal is to make the world a better place for all of us, starting with our local communities.

To learn more about Nyla's culture and our exceptional benefit packages click here.

We are an equal opportunity employer-but we are more than that – we are open-minded, and care only about your capability, your drive, and your desire and determination to contribute your gifts and talents fully.",4.7,Nyla Technology Solutions,"Columbia, MD",1 to 50 Employees,2013,Company - Private,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable
649,Data Scientist,$130K – $155K/yr (Employer est.),,3.6,Winnebago Industries Inc,"Eden Prairie, MN",1001 to 5000 Employees,1958,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$500 million to $1 billion (USD)
650,Data Scientist,$109K – $219K/yr (Employer est.),"Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritionals and branded generic medicines. Our 114,000 colleagues serve people in more than 160 countries.
About Abbott
At Abbott, we believe people with diabetes should have the freedom to enjoy active lives. That’s why we’re focused on helping people with diabetes manage their health more effectively and comfortably, with life-changing products that provide accurate data to drive better-informed decisions. We’re revolutionizing the way people monitor their glucose levels with our new sensing technology.

What You’ll Do:
As a Data Scientist, you will lead the analysis and interpretation of numerous data sources (interventional clinical trial datasets, observational human studies and real world evidence) from people with diabetes (PWDs). Results will inform feature sets for products to help PWDs better manage their diabetes. The ideal candidate will be one who can effectively analyze source data sets and translate those findings into actionable insights that can be understood by cross functional stakeholders. More specifically, they will be expected to do the following: develop standardized analysis methods and dashboards for certain common datasets as well as bespoke methods for unique datasets, define and test hypotheses for each dataset, generate summary documents of results with recommendations, and lead translation of these recommendations into real-life embodiments for testing. The nature of this work is highly interdisciplinary, so the ideal candidate should value working with people from different professional backgrounds and be able to cultivate working cross-functional relationships.
A strong working knowledge of the diabetes disease state (etiology, pathogenesis, progression and treatment) is highly preferred. Such a knowledge will allow the incumbent to more effectively understand datasets, define hypotheses and draw actionable conclusions.

Responsibilities:
Perform hypothesis-driven analysis of PWD user data from various sources (glucose monitors, medication delivery devices, activity trackers).
Utilize findings from data analysis to formulate product features for next generation decision support tools.
Effectively present findings and your own conclusions/recommendations to stakeholders of various backgrounds. Requires the ability to aggregate and simplify results into memorable “take home” messages.
Develop standardized analysis methods and visualization dashboards for certain commonly structured datasets as well as bespoke methods for unique datasets
Define study endpoints, hypotheses and data analysis methods for human clinical trials.
Participate in R&D initiatives to utilize time series data sets from multiple medical devices in the development of decision support algorithms for people with diabetes
Assist system engineers in system-level characterization/verification of complex systems.
Communicate effectively with and participate on cross functional development teams with good negotiating skills to direct multi-disciplinary teams toward solutions.
Responsible for utilizing and maintaining the effectiveness of the quality system.
Responsible for compliance with applicable Corporate and Divisional Policies and performing other duties as assigned by management.

Education and Experience You'll Bring
Required
Bachelor’s degree is Required
Minimum 6 years of Product development experience in Engineering or physical science.
Experience in general engineering/science principals and laboratory skills.
Strong knowledge of defined development process that is consistent with ISO, FDA design control standards or requirements.
Experienced in one or more of the following: Electro-mechanical, software, mathematical, chemical or biochemical technologies as they pertain to the design, integration, evaluation and commercialization of diagnostic systems.
Ability to work on many subjects concurrently.

Preferred
Advanced degree (Master’s or Doctorate) is preferred.
Experience credit for advanced degrees beyond BS (2 years for Master’s; 4 years for Doctorate).
Understanding of the diabetes space from disease etiology and pathogenesis through on-market devices and therapeutics is desired.
Significant experience with advanced data analysis of clinical or real world evidence data in either a medical device or pharmaceutical setting.
Demonstrated ability to translate data analysis findings into actionable outputs for product (or drug) development (eg: requirements, specifications, etc)
Significant experience utilizing machine learning techniques for problem solving.
MATLAB and Python proficiency are highly desired.
Able to perform proficiently under up-to-date regulatory requirements.

What We Offer
At Abbott, you can have a good job that can grow into a great career. We offer:
Training and career development, with onboarding programs for new employees and tuition assistance
Financial security through competitive compensation, incentives and retirement plans
Health care and well-being programs including medical, dental, vision, wellness and occupational health programs
Paid time off
401(k) retirement savings with a generous company match
The stability of a company with a record of strong financial performance and history of being actively involved in local communities
Learn more about our benefits that add real value to your life to help you live fully: www.abbottbenefits.com
Follow your career aspirations to Abbott for diverse opportunities with a company that provides the growth and strength to build your future. Abbott is an Equal Opportunity Employer, committed to employee diversity.
Connect with us at www.abbott.com, on Facebook at www.facebook.com/Abbott and on Twitter @AbbottNews and @AbbottGlobal.

The base pay for this position is $109,300.00 – $218,500.00. In specific locations, the pay range may vary from the range posted.",3.8,Abbott Laboratories,"Alameda, CA",10000+ Employees,1888,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
651,Data Scientist,$74K – $126K/yr (Glassdoor est.),"Job ID:
MD-3015

Job Title:
Data Scientist

Location:
Suitland, MD

Clearance:
TS/SCI

Travel:
Minimal

Description:
Active TS/SCI required
TapHere is looking for a self-starting, team-oriented Data Scientist to join our dynamic development team in supporting a Government customer. The successful candidate will perform the following requirements and tasks:
Support ONI project initiatives by applying and utilizing new or established qualitative and quantitative methods to analyze and resolve analytical issues.
Research opportunities for data acquisition and new uses for existing data as well as collaborate with respective government points of contact (POC) to perform exploratory and targeted data analyses; test working hypotheses; prepare, mine, and analyze structured, semi-structured, and unstructured data; and identify trends and patterns.
Design and develop new, scalable tools, dashboards, and visualizations to enable users to consume and understand data more effectively and efficiently.
Identify data needs and proper methods for data gathering, extraction, integration, preparation, quality, and governance from internal and external sources in context of meeting customer expectations.
Employ a variety of programming languages, analytic techniques, and tools to develop statistical algorithms and models, automate data conditioning and data analysis, support machine learning, and generate visualizations for use in predictive and prescriptive modeling and proof of concept initiatives.
Create positive customer relationships in order to gather input and feedback for addressing analytical issues and advanced reporting needs.
Deliver and communicate status and results through reports, presentations, and other means as designated by government POCs and in accordance with the deliverables listed in Section 3.2.
Collaborate with other analytic professionals to continuously build a broader and deeper data science and analytics capability relevant to N3 initiatives, ONI and subordinate commands' mission areas.
May accompany ONI personnel to community GEOINT related conferences and meetings in order to gain insight and understanding of the latest military and civil sector GEOINT techniques and technologies under development. As required, the contractor also may travel to ashore and afloat naval and joint service commands, GEOINT-related trade shows and conferences to become familiar with special projects, exercises, and analytic methods.


Experience Required:
Bachelor’s degree from an accredited institution in a quantitative or technical field of study, such as: Statistics, Mathematics, Computer Science, Physical Science, or Geographic Information Systems (GIS)


Skills Required:
Three years of practical work experience integrating data mining, conditioning, and analysis that includes the use of current data analysis software and methods including two or more (exact, similar, or equivalent software) of the following:
o ESRI ArcGIS
o MATLAB
o SAS
o SPSS Statistics
o Hive/Hadoop
Three years of practical experience in computer programming using one or more (exact, similar, or equivalent software) of the following:
o Python
o JavaScript
o Interactive Data Language (IDL)
o R
o C++
One-year practical work experience with database management systems, database structures and query tools using one or more (exact, similar, or equivalent software) of the following:
o GeoDB
o SQL
o MS Access
o MS Excel
One-year practical work experience with geospatial data and/or imagery data
Two years of experience writing technical analysis reports
Demonstrated problem-solving skills
Demonstrated presentation skills, including but not limited to presenting at professional or academic conferences
MUST HAVE an Active TS/SCI security clearance.",5.0,TapHere! Technology,"Suitland, MD",51 to 200 Employees,2003,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD)
652,Jr. R&D Data Scientist,$78K – $121K/yr (Glassdoor est.),"At Eos, we believe in great chemistry. The combination of core elements into an amazing product and the mixture of skills into a unified team. We seek the best talent to just us in our mission to bring affordable, sustainable, clean energy to all. Come change the world with us.
Summary
This is an entry-level position for a data scientist embedded within Eos's research and development group. An optimal candidate has either a data science background with a strong focus on research applications and methods or a background in a physical science or engineering discipline with a focus on applied data science. Recent graduates with strong research skills are welcome.
Responsibilities
Support tools for handling, processing, and analyzing Eos’s R&D data pipeline and associated data infrastructure – including front-end dashboards for scientists and operators.
Carry out analyses as needed to support other team members within R&D, as well as other teams (primarily the systems engineering team).
Develop algorithms to better characterize and parametrize battery state behavior (state of health, state of charge), including development of tests plans to generate requisite data as needed.
Support development of tools for any data infrastructure needs that arise for either lab data for field telemetry.
Support the other R&D data scientists with tasks relating to the research data management as needed.
Knowledge, Skills, and Abilities
Strong general-purpose scripting skills
Background in mathematics and statistics.
Background in experimental methods and test design.
Python strongly preferred (numerical/data packages such as Numpy, Pandas, Scipy, etc… beneficial).
Some knowledge of SQL databases.
Strong technical writing and reporting skills.
Basic familiarity with Linux.
Ability to work independently and well within a team.
Experience with timeseries telemetry data or similar preferred.
Experience with analyzing research data and physical measurements preferred.
Experience modelling physical systems, control systems, etc. preferred.
Education and Experience
Bachelor's degree in data science or related field required.
Minimum of 2 years' experience.
Travel
Overnight/North America: Less than 10%
Working Conditions
Office Environment - Must be able to remain in a stationary position 50% of the time and occasionally move about inside the office to access file cabinets, office machinery, etc. Required to have close visual acuity to perform an activity such as: preparing and analyzing data and figures; transcribing; viewing a computer terminal; extensive reading. May be required to exert up to 25 pounds of force occasionally to lift, carry, push, pull or otherwise move objects, including the human body.",4.0,EOS Energy Storage,"Edison, NJ",201 to 500 Employees,2008,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$5 to $25 million (USD)
653,Sr. Associate Data Scientist,$108K – $178K/yr (Employer est.),"Who Are We?
Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.
Job Category
Data Science
Compensation Overview
The annual base salary range provided for this position is a nationwide market range and represents a broad range of salaries for this role across the country. The actual salary for this position will be determined by a number of factors, including the scope, complexity and location of the role; the skills, education, training, credentials and experience of the candidate; and other conditions of employment. As part of our comprehensive compensation and benefits program, employees are also eligible for performance-based cash incentive awards.
Salary Range
$107,600.00 - $177,500.00
Target Openings
1
What Is the Opportunity?
Travelers Organizational Statement
Solid reputation, passionate people, and endless opportunities. That's Travelers. Our superior financial strength and consistent record of strong operating returns mean security for our customers - and opportunities for our employees. You will find Travelers to be full of energy and a workplace in which you truly can make a difference.

Summary
The Travelers Catastrophe Risk Management Group is seeking a Sr. Associate Data Scientist to join our PERILS team. You will be joining a group of dedicated professionals charged with leading Travelers to be in a position to endure catastrophic loss from natural and man-made perils.

The PERILS team is a multi-discipline group focusing on peril research, the development of next generation analytics, and event response activities. As a member of this Team, you will be an active participant in the development and implementation of peril research and strategies. The team engages in enterprise-wide complex multi-disciplinary CAT research projects with various depths of focus. The position requires an individual who can strive in an analytical, innovation-driven environment, in tune with business needs.
What Will You Do?
Travelers Data Scientists are taking the organization to the next level of intelligence by using advanced statistical techniques and machine learning algorithms. As Sr. Associate Data Scientist, you will analyze large, complex data sources to generate actionable insights and solutions that will enhance our catastrophe risk assessment. You will work with business partners to develop an understanding of business needs and opportunities for data analysis and experiments. Leverage your expanding technical and business knowledge to build models that solve key business problems.
We are seeking a candidate with a solid analytical base and a keen interest in research and development. The position requires an individual who can succeed in a collaborative, innovation-driven environment, in tune with business needs and deadlines.
Primary responsibilities include:
Independently perform tasks to support the development of analytical solutions, engage stakeholders and provide recommendations.
Catastrophe model evaluation, sensitivity testing, calibration, and validation with a focus on wildfire and cyber perils.
Develop tools and features to bring latest peril research/models into production.
Develop domain and business knowledge to build statistical models.
Communicate analysis, insights, and results to manager, peers, and working team.
Stay abreast of scientific research and be able to synthesize academic papers.
Assist or mentor less experienced analytic talent.
Perform other duties as assigned.
What Will Our Ideal Candidate Have?
Masters in STEM related field or equivalent
1 year of related experience
Moderate working knowledge of modeling/research /analytics or actuarial required
Domain knowledge of primary P&C insurance market, a basic understanding of CAT modeling concepts and one or more vendor CAT models preferred. CAT model certification is a plus.
Solid analytical and research skills dealing with issues that are not readily defined
Relevant statistical analysis work experience required
Knowledge of statistical techniques with the ability to read and revise statistical software programs (e.g., R/Matlab/SAS)
Ability to develop basic models and interpret model results
Basic understanding of advanced statistics underlying data models
Ability to apply emerging statistical procedures to work
Working knowledge in: Regression, Classification and Statistical modeling
Moderate working knowledge of a programming language (e.g., Python) strongly preferred
Self-motivated with ability to self-organize and drive analyses independently
Strong communication and ability to convey technical concepts across professional fields of discipline
Experience with geospatial a plus
What is a Must Have?
Master's degree in Statistics, Mathematics, Decision Sciences, Actuarial Science or related analytical STEM field plus one year of experience or any suitable and equivalent combination of education and work experience.
Heavy concentration in mathematics, including statistics and programming, business intelligence/analytics, as well as data science tools and research using large data sets. Additional verification of specific coursework will be required.
What Is in It for You?
Health Insurance: Employees and their eligible family members – including spouses, domestic partners, and children – are eligible for coverage from the first day of employment.
Retirement: Travelers matches your 401(k) contributions dollar-for-dollar up to your first 5% of eligible pay, subject to an annual maximum. If you have student loan debt, you can enroll in the Paying it Forward Savings Program. When you make a payment toward your student loan, Travelers will make an annual contribution into your 401(k) account. You are also eligible for a Pension Plan that is 100% funded by Travelers.
Paid Time Off: Start your career at Travelers with a minimum of 20 days Paid Time Off annually, plus nine paid company Holidays.
Wellness Program: The Travelers wellness program is comprised of tools and resources that empower you to achieve your wellness goals. In addition, our Life Balance program provides access to professional counseling services, life coaching and other resources to support your daily life needs. Through Life Balance, you’re eligible for five free counseling sessions with a licensed therapist.
Volunteer Encouragement: We have a deep commitment to the communities we serve and encourage our employees to get involved. Travelers has a Matching Gift and Volunteer Rewards program that enables you to give back to the charity of your choice.
Employment Practices
Travelers is an equal opportunity employer. We believe that we can deliver the very best products and services when our workforce reflects the diverse customers and communities we serve. We are committed to recruiting, retaining and developing the diverse talent of all of our employees and fostering an inclusive workplace, where we celebrate differences, promote belonging, and work together to deliver extraordinary results.

If you are a candidate and have specific questions regarding the physical requirements of this role, please send us an
email
so we may assist you.

Travelers reserves the right to fill this position at a level above or below the level included in this posting.
To learn more about our comprehensive benefit programs please visit
http://careers.travelers.com/life-at-travelers/benefits/
.",4.2,"The Travelers Companies, Inc.","Hartford, CT",10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
654,Basketball Data Scientist,$50K – $89K/yr (Glassdoor est.),,4.1,Jazz Basketball Investors LLC,"Salt Lake City, UT",51 to 200 Employees,1979,Franchise,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD)
655,Data Scientist - User Engagement,$117K – $176K/yr (Employer est.),"Location
United States, Europe, United Kingdom, Ireland, Canada
Type
Full time
Department
Data
Data Science
Compensation
$117K – $176K
This is the target annual salary range for this role. This range is not inclusive of other additional compensation elements, such as our Bonus program, Equity program, Wellness allowance, and other benefits [US Only] (including medical, dental, vision and 401(k)).
The compensation range provided is influenced by various factors and represents the initial target range. Our salary offerings are dynamic and we strive to ensure that our base salary and total compensation package aligns and recognizes the top talent we aim to attract and retain. The compensation package of the successful candidate is based on various factors such as their skillset, experience, and job scope.

Building the Future of Crypto
Our Krakenites are a world-class team with crypto conviction, united by our desire to discover and unlock the potential of crypto and blockchain technology.
What makes us different?
Kraken is a mission-focused company rooted in crypto values. As a Krakenite, you’ll join us on our mission to accelerate the global adoption of crypto, so that everyone can achieve financial freedom and inclusion. For over a decade, Kraken’s focus on our mission and crypto ethos has attracted many of the most talented crypto experts in the world.
Before you apply, please read the Kraken Culture page to learn more about our internal culture, values, and mission.
As a fully remote company, we have Krakenites in 60+ countries who speak over 50 languages. Krakenites are industry pioneers who develop premium crypto products for experienced traders, institutions, and newcomers to the space. Kraken is committed to industry-leading security, crypto education, and world-class client support through our products like Kraken Pro, Kraken NFT, and Kraken Futures.
Become a Krakenite and build the future of crypto!
Proof of work
The team
Embark on a transformative journey with Kraken's Product Analytics team, where your expertise will directly influence the evolution of the cryptocurrency landscape. Our team is not just a part of the organization; we are the central nerve of data-driven decision making, working in lockstep with Product, Marketing, Finance, and executive leadership to enhance business strategies and personalize user experiences.
At Kraken, data isn't just numbers; it's the compass that guides our entire operation. Your role will be crucial in unraveling complex user behaviors and navigating the intricate dynamics of the cryptocurrency ecosystem. You'll spearhead the development and refinement of pivotal north-star business metrics and elevate our reporting capabilities to new heights. Beyond traditional analytics, you will delve into the realms of meticulous statistical analysis and advanced machine learning models, all tailored to set new benchmarks in the industry.
Join us, and be part of a team where data is not just an asset; it's our language, our tool, and our future. At Kraken, we're as serious about data as the crypto world is about innovation.

The opportunity
Forge strong collaborations with product, engineering, marketing, and finance teams to identify key analytical questions that drive business impact.
Lead comprehensive analytic projects from conception to execution, including data collection, analysis, and presenting findings to facilitate informed decision-making.
Work alongside business leaders and experts to define success metrics and refine new products, features, policies, and models.
Employ sophisticated statistical methods and machine learning algorithms to dissect complex datasets, forecast trends, and unveil critical insights.
Utilize big data technologies (e.g., Hadoop, Spark) and data engineering expertise to manage and analyze large datasets.
Translate intricate data insights into practical business strategies and articulate these findings to diverse audiences in a clear, effective manner.
Conceive and execute experiments, aiding product teams in hypothesis testing and conceptual development.
Skills you should HODL
You have a solid understanding of the cryptocurrency ecosystem and financial markets.
5+ years of industry experience in data science and/or analytics.
Proven ability to perform data analysis using Python, R, and/or SQL.
Design, implement and deploy Machine Learning solutions to solve complex problems and deliver real business value ie. revenue, engagement and customer satisfaction.
Skilled in using statistics and predictive analytics to tackle complex business challenges.
The adaptability and eagerness to learn new technologies on the job.
Capable of conveying complex results to both technical and non-technical stakeholders.
Familiarity with data tools like Druid, Hadoop, Tableau, and Superset is advantageous.
Nice-to-Haves
A BA/BS or MA/MS degree in Mathematics, Statistics, Computer Science, or Data Science is preferable.
#LI-GL1 #LI-Remote
Kraken is powered by people from around the world and we celebrate all Krakenites for their diverse talents, backgrounds, contributions and unique perspectives. We hire strictly based on merit, meaning we seek out the candidates with the right abilities, knowledge, and skills considered the most suitable for the job. We encourage you to apply for roles where you don't fully meet the listed requirements, especially if you're passionate or knowledgable about crypto!
As an equal opportunity employer, we don’t tolerate discrimination or harassment of any kind. Whether that’s based on race, ethnicity, age, gender identity, citizenship, religion, sexual orientation, disability, pregnancy, veteran status or any other protected characteristic as outlined by federal, state or local laws.",4.5,kraken,United States,1001 to 5000 Employees,2011,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
